setup_id,created_ts,updated_ts,reference_ts,resolved_ts,symbol,strategy,side,status,activation_status,trade_lifecycle,resolution_status,breakout_context,pullback_quality,risk_quality,reward_quality,quality_score,quality_grade,ideal_entry,activated_ts,activated_price,entry_price,invalidation,tp1,tp2,exit_price,tp1_hit,tp1_hit_ts,tp1_price,realized_return_pct,realized_r_multiple,outcome_r_multiple_proxy,consistency_flag,bars_observed,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,reason,reject_reason,resolution_note
7066d9cd8b76246cca5dc284086874ebef085967,1773118199999,1773127499999,1773118199999,1773127499999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.10149999999999999,1773120239999,0.10149999999999999,0.10149999999999999,0.10099999999999999,0.1025,0.103,0.103,1,1773126479999.0,0.10225,1.4778325123152725,3.0,3.0,OK,155,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
83bef881d40f895d2de41725d37fbf7b744eb25f,1773163079999,1773164219999,1773163079999,1773164219999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.1055,1773163619999,0.1055,0.1055,0.105,0.1065,0.107,0.105,0,,,-0.4739336492891,-1.0,-1.0,OK,19,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
3ebecbb0e05f67b7ea00e6478ebe1ef4d6b3d270,1773230939999,1773933479999,1773230939999,1773933479999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP1_PARTIAL_THEN_BE,TP1_PARTIAL_THEN_BE,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.101,1773931139999,0.101,0.101,0.1005,0.10200000000000001,0.10250000000000001,0.1010202,1,1773931979999.0,0.10175000000000001,0.019999999999998016,0.04039999999999596,1.0,OK,11709,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp1_partial_then_breakeven
31155070e46e3e8cc280327053194e524c2d0d47,1773937919999,1773947219999,1773937919999,1773947219999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.101,1773937979999,0.101,0.101,0.1005,0.10200000000000001,0.10250000000000001,0.10250000000000001,1,1773941339999.0,0.10175000000000001,1.4851485148514862,3.0,3.0,OK,155,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
52925223304f506e0207b9332530440f1af2c7e9,1773948959999,1774031579999,1773948959999,1774031579999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP1_PARTIAL_THEN_BE,TP1_PARTIAL_THEN_BE,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.101,1774019939999,0.101,0.101,0.1005,0.10200000000000001,0.10250000000000001,0.1010202,1,1774020239999.0,0.10175000000000001,0.019999999999998016,0.04039999999999596,1.0,OK,1377,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp1_partial_then_breakeven
5e9f33c099e1443ee374e3315c02dce80b30e86a,1774045559999,1774126199999,1774045559999,1774126199999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.10075,1774096499999,0.10075,0.10075,0.10025,0.10175000000000001,0.10225000000000001,0.10225000000000001,1,1774102379999.0,0.1015,1.4888337468982642,3.0,3.0,OK,1344,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
f1933dd00b5dc3581d1b091616333bf4652970f9,1774135619999,1774136999999,1774135619999,1774136999999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.10125,1774136819999,0.10125,0.10125,0.10075,0.10225000000000001,0.10275000000000001,0.10075,0,,,-0.4938271604938276,-1.0,-1.0,OK,23,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
1a796dbf9e07cc17c37157f6b3f67450efa9494e,1774143419999,1774150139999,1774143419999,1774150139999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.09825,1774143479999,0.09825,0.09825,0.09775,0.09925,0.09975,0.09975,1,1774146539999.0,0.099,1.5267175572519098,3.0,3.0,OK,112,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
fe80e66d7aaa0e6baa5a70ee38830fbf48748326,1774151639999,1774167059999,1774151639999,1774167059999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.0985,1774166279999,0.0985,0.0985,0.098,0.0995,0.1,0.098,0,,,-0.50761421319797,-1.0,-1.0,OK,257,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
2b162df9dc9d07f999d1e8730f6d86c90e6e8580,1774186979999,1774198919999,1774186979999,1774198919999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.09775,1774187099999,0.09775,0.09775,0.09725,0.09875,0.09925,0.09725,0,,,-0.5115089514066501,-1.0,-1.0,OK,199,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
