symbol,side,resolution_status,quality_score,quality_grade,pullback_quality,risk_quality,reward_quality,breakout_context,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,tp1_hit,ideal_entry,invalidation,tp1,tp2,entry_price,exit_price,realized_r_multiple,reason,resolution_note,reference_ts,activated_ts,resolved_ts,setup_id
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.089,0.0885,0.09,0.0905,0.089,0.0885,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774660259999,1774660319999,1774660439999,607cd60e0c414ad3930743f72a9709bb3431ebaa
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09175,0.09125,0.09275,0.09325,0.09175,0.09125,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774692599999,1774692659999,1774693739999,b53022893d153385abdea2a8c6d7f63d06ba75bd
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09075,0.09025,0.09175,0.09225,0.09075,0.09025,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774713299999,1774739519999,1774741559999,3aba84e9a4540dd3da287399b447243c89f968e5
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09,0.0895,0.091,0.0915,0.09,0.0895,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774802639999,1774802699999,1774804979999,66f8f9901ff2bd7b74d4c3054c5575cd93948f72
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.08975,0.08925,0.09075,0.09125,0.08975,0.08925,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774822019999,1774824119999,1774824179999,3aa7f6d3dbd581e3eb624746b40afb0ddb2dc7d6
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09025,0.08975,0.09125,0.09175,0.09025,0.08975,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774838459999,1774895039999,1774898699999,73cfd5a3d2cf2cf60989845f7ba6dc346678181c
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.0925,0.092,0.0935,0.094,0.0925,0.092,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774908179999,1774908239999,1774908599999,013d6ec9f7203f86ed0930d036d85db760682ec1
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09125,0.09075,0.09225,0.09275,0.09125,0.09075,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774921439999,1774947719999,1774949039999,78886fef52a08efbe30f7578dce230db06dec65e
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.07925,0.07875,0.08025,0.08075,0.07925,0.07875,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775151239999,1775255339999,1775257679999,28efa31c69b35853f81ae076d54c57e70bed7d6e
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.07975,0.07925,0.08075,0.08125,0.07975,0.07925,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775312219999,1775345519999,1775354939999,33bd27ef87dcf11250ff45513cae4e88456aa33f
MEXC_FUT:ETHUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,1930.0,1950.0,1890.0,1870.0,1930.0,1950.0,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1772993939999,1772994059999,1772997539999,dde145b5e0f88811dbf0e464ba27e0c44b201d38
MEXC_FUT:ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,1935.0,1925.0,1955.0,1965.0,1935.0,1925.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1773004199999,1773007439999,1773007499999,bb81dc52205fe494a948477bc50dd58dfb99991b
MEXC_FUT:ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2055.0,2045.0,2075.0,2085.0,2055.0,2045.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774878599999,1774880519999,1774881479999,270cb511366a6c15e0ab482a6777c36d9cb54baa
MEXC_FUT:ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2055.0,2045.0,2075.0,2085.0,2055.0,2045.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774889699999,1774891019999,1774891439999,f17b9656de2b1a39a80d76fa527c7afc44001132
MEXC_FUT:ETHUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,2050.0,2040.0,2070.0,2080.0,2050.0,2040.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774972739999,1775101379999,1775106539999,024b4d1c18c173d862369d5b2f98ebda0f16812a
MEXC_FUT:SOLUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,81.75,81.25,82.75,83.25,81.75,81.25,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1773004199999,1773004439999,1773007439999,8ab7b1275dcd2967d402716199585c76ae33b09d
MEXC_FUT:SOLUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,82.5,82.0,83.5,84.0,82.5,82.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774693679999,1774734839999,1774739519999,83aa79618eea60ca254f5ec014d670e0535dc7f4
MEXC_FUT:SOLUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,82.0,81.5,83.0,83.5,82.0,81.5,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774840559999,1774948679999,1774950839999,86e20e60a21821dfd5491e4a1217ea657944b9d8
MEXC_FUT:SOLUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,81.75,82.75,79.75,78.75,81.75,82.75,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1775455439999,1775455499999,1775467139999,cd7f02d30b385a70767a86a31abe19a5c574bb38
MEXC_FUT:SOLUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,81.5,81.0,82.5,83.0,81.5,81.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775486339999,1775494919999,1775514839999,40a7b957b4738b61204768b7031e7ac691e4b10d
MEXC_FUT:SUIUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.875,0.8700000000000001,0.8849999999999998,0.8899999999999997,0.875,0.8700000000000001,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774699619999,1774739279999,1774739399999,a7c802f292f572892b51b32cb43c6a7fe7186af0
MEXC_FUT:SUIUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.8625,0.8575000000000002,0.8724999999999998,0.8774999999999997,0.8625,0.8575000000000002,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774921379999,1774946759999,1774949759999,c9a8beb267124142335821b340bb4763dda1fdfa
MEXC_FUT:SUIUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.8624999999999999,0.8575,0.8724999999999997,0.8774999999999996,0.8624999999999999,0.8575,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774978679999,1775096459999,1775097899999,24c3789e5ec61f16ad70efb604dec2c8f599f115
MEXC_FUT:SUIUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.8574999999999999,0.8525,0.8674999999999997,0.8724999999999996,0.8574999999999999,0.8525,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775151539999,1775152079999,1775152739999,808e685746b1a69d11727b569131ce2c7741048e
MEXC_FUT:SUIUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.86,0.8550000000000001,0.8699999999999998,0.8749999999999997,0.86,0.8550000000000001,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775221679999,1775366459999,1775368619999,0252848ccbde18ca8e35325e6345e35cfc65a129
MEXC_FUT:SUIUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.8775,0.8725,0.8874999999999997,0.8924999999999996,0.8775,0.8725,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775445839999,1775516399999,1775516519999,2b7ffb1c23690996a919eb0602b499aaadb9becf
MEXC_FUT:SUIUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.9575000000000002,0.9525000000000003,0.9675,0.9724999999999999,0.9575000000000002,0.9525000000000003,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775615999999,1775628479999,1775629979999,d23f195b4b564212c89dc6bca80feaffbaa2fb85
MEXC_FUT:TAOUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,175.0,179.0,167.0,163.0,175.0,179.0,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1772980679999,1772980739999,1772997059999,47e1fdb49b2f34248cb021d7c00a2323320cebf0
MEXC_FUT:TAOUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,181.0,185.0,173.0,169.0,181.0,185.0,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1773007439999,1773007679999,1773016439999,428716e731527b97ffaf49538848052f58454971
SOLUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,82.0,81.5,83.0,83.5,82.0,81.5,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774867139999,1774948739999,1774950839999,384267d4bd1b42745ea322622884c315b14665de
SOLUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,80.0,79.5,81.0,81.5,80.0,79.5,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775354339999,1775369399999,1775369879999,d1f271418c0420d1c9396f9ee422bf60c5ffaf55
SOLUSDT,SHORT,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,81.75,82.75,79.75,78.75,81.75,82.75,-1.0,Failed bullish move / reversal short near resistance with acceptable risk profile,stop_hit_before_tp1,1775456519999,1775460299999,1775467199999,3d112ff1398e7b874aeaed57ada1a7b332fa0fd8
SOLUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,81.5,81.0,82.5,83.0,81.5,81.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1775486399999,1775494919999,1775514839999,bf0bde7f10f07ff3e5c3ad196c5a3933be6705ff
XRPUSDT,LONG,STOPPED,100.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,1.335,1.3250000000000002,1.3549999999999995,1.3649999999999993,1.335,1.3250000000000002,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774880399999,1774891619999,1774896659999,8a9e03e65c9ef19ce024e268e1b86ad7aa06dc89
