threshold_name,min_pivot_boxes,min_pivot_ratio,symbol,reaction_kind,bucket,count,percentage
SLOW,5,0.382,SOLUSDT,CONFIRMING,10-20%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,20-30%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,30-40%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,40-50%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,50-60%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,60-70%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,70-80%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,80-90%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,90-100%,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,100%+,1,100
SLOW,5,0.382,SOLUSDT,ALL,0-10%,0,0
SLOW,5,0.382,SOLUSDT,ALL,10-20%,0,0
SLOW,5,0.382,SOLUSDT,ALL,20-30%,0,0
SLOW,5,0.382,SOLUSDT,ALL,30-40%,1,33.3333333333
SLOW,5,0.382,SOLUSDT,ALL,40-50%,0,0
SLOW,5,0.382,SOLUSDT,ALL,50-60%,0,0
SLOW,5,0.382,SOLUSDT,ALL,60-70%,1,33.3333333333
SLOW,5,0.382,SOLUSDT,ALL,70-80%,0,0
SLOW,5,0.382,SOLUSDT,ALL,80-90%,0,0
SLOW,5,0.382,SOLUSDT,ALL,90-100%,0,0
SLOW,5,0.382,SOLUSDT,ALL,100%+,1,33.3333333333
